date,store_type,region,brand,sales,discount,year,month,week,weekday,quarter,is_weekend,store_type_enc,region_enc,brand_enc,product_category_Electronics,product_category_Furniture,product_category_Grocery,rolling_7day_sales,discount_impact
2023-01-01,Urban,North,Brand_A,-0.45609812715450787,-0.31590557768456673,2023,1,52,6,1,1,2,1,0,True,False,False,-2.113308984127425,-0.16334432082087277
2023-01-02,Urban,North,Brand_B,1.0713002521536115,-0.8574579965723959,2023,1,1,0,1,0,2,1,1,False,False,True,1.3789747245694302,0.10394638597691895
2023-01-03,Rural,South,Brand_A,-0.7106645237058611,0.22564684120326223,2023,1,1,1,1,0,0,2,0,True,False,False,-0.17315136818472757,-0.02969896742197691
2023-01-04,Rural,South,Brand_C,0.22274559698243407,0.7671992600910915,2023,1,1,2,1,0,0,2,2,False,False,False,0.11787227420667702,2.331368942625183
2023-01-05,Urban,East,Brand_B,1.4955775797392001,-1.399010415460225,2023,1,1,3,1,0,2,0,1,False,False,True,1.4565810292071382,-1.2325071480120398
2023-01-06,Urban,East,Brand_D,-1.1349418512914498,1.3087516789789204,2023,1,1,4,1,0,2,0,3,False,True,False,0.34422399606665877,-0.3415381253527339
2023-01-07,Semi-Urban,West,Brand_C,0.05303466594819859,-0.31590557768456673,2023,1,1,5,1,1,1,3,2,False,False,False,0.3257463044862519,0.3712370927747107
2023-01-08,Semi-Urban,West,Brand_D,-1.1773695840500087,1.8503040978667495,2023,1,1,6,1,1,1,3,3,False,True,False,-0.1454348308141173,-0.29698967421976863
2023-01-09,Urban,North,Brand_A,-0.5409535926716256,-0.8574579965723959,2023,1,2,0,1,0,2,1,0,True,False,False,-1.1986632508972956,-0.7424741855494216
2023-01-10,Rural,South,Brand_B,1.919854907324789,-1.399010415460225,2023,1,2,1,1,0,0,2,1,False,False,True,0.5197620660805217,-1.2325071480120398
2023-01-11,Urban,East,Brand_C,0.3076010624995518,0.22564684120326223,2023,1,2,2,1,0,2,0,2,False,False,False,0.5751951408217411,1.5740452733647734
2023-01-12,Semi-Urban,West,Brand_D,-1.050086385774332,0.7671992600910915,2023,1,2,3,1,0,1,3,3,False,True,False,-1.0877971014148566,-0.3415381253527339
